Quarter,Benefit_Group,Continuous_duration,Gender,Age_Group,Ethnicity,Count
SEP10,Jobseeker Support,1 year or less,Female,18-24,NZ European,3464
SEP10,Jobseeker Support,1 year or less,Female,18-24,Maori,3368
SEP10,Jobseeker Support,1 year or less,Female,18-24,Pacific Island,1022
SEP10,Jobseeker Support,1 year or less,Female,18-24,Other,835
SEP10,Jobseeker Support,1 year or less,Female,18-24,Unspecified,622
SEP10,Jobseeker Support,1 year or less,Female,25-39,NZ European,2163
SEP10,Jobseeker Support,1 year or less,Female,25-39,Maori,1751
SEP10,Jobseeker Support,1 year or less,Female,25-39,Pacific Island,555
SEP10,Jobseeker Support,1 year or less,Female,25-39,Other,775
SEP10,Jobseeker Support,1 year or less,Female,25-39,Unspecified,64
SEP10,Jobseeker Support,1 year or less,Female,40-54,NZ European,2849
SEP10,Jobseeker Support,1 year or less,Female,40-54,Maori,1885
SEP10,Jobseeker Support,1 year or less,Female,40-54,Pacific Island,420
SEP10,Jobseeker Support,1 year or less,Female,40-54,Other,1086
SEP10,Jobseeker Support,1 year or less,Female,40-54,Unspecified,183
SEP10,Jobseeker Support,1 year or less,Female,55-64,NZ European,1945
SEP10,Jobseeker Support,1 year or less,Female,55-64,Maori,650
SEP10,Jobseeker Support,1 year or less,Female,55-64,Pacific Island,220
SEP10,Jobseeker Support,1 year or less,Female,55-64,Other,760
SEP10,Jobseeker Support,1 year or less,Female,55-64,Unspecified,239
SEP10,Jobseeker Support,1 year or less,Male,18-24,NZ European,5514
SEP10,Jobseeker Support,1 year or less,Male,18-24,Maori,5172
SEP10,Jobseeker Support,1 year or less,Male,18-24,Pacific Island,1286
SEP10,Jobseeker Support,1 year or less,Male,18-24,Other,1277
SEP10,Jobseeker Support,1 year or less,Male,18-24,Unspecified,733
SEP10,Jobseeker Support,1 year or less,Male,25-39,NZ European,5863
SEP10,Jobseeker Support,1 year or less,Male,25-39,Maori,5259
SEP10,Jobseeker Support,1 year or less,Male,25-39,Pacific Island,1287
SEP10,Jobseeker Support,1 year or less,Male,25-39,Other,1697
SEP10,Jobseeker Support,1 year or less,Male,25-39,Unspecified,161
SEP10,Jobseeker Support,1 year or less,Male,40-54,NZ European,4988
SEP10,Jobseeker Support,1 year or less,Male,40-54,Maori,3269
SEP10,Jobseeker Support,1 year or less,Male,40-54,Pacific Island,856
SEP10,Jobseeker Support,1 year or less,Male,40-54,Other,1479
SEP10,Jobseeker Support,1 year or less,Male,40-54,Unspecified,229
SEP10,Jobseeker Support,1 year or less,Male,55-64,NZ European,2643
SEP10,Jobseeker Support,1 year or less,Male,55-64,Maori,886
SEP10,Jobseeker Support,1 year or less,Male,55-64,Pacific Island,281
SEP10,Jobseeker Support,1 year or less,Male,55-64,Other,860
SEP10,Jobseeker Support,1 year or less,Male,55-64,Unspecified,201
SEP10,Jobseeker Support,More than 1 year,Female,18-24,NZ European,1713
SEP10,Jobseeker Support,More than 1 year,Female,18-24,Maori,1635
SEP10,Jobseeker Support,More than 1 year,Female,18-24,Pacific Island,373
SEP10,Jobseeker Support,More than 1 year,Female,18-24,Other,317
SEP10,Jobseeker Support,More than 1 year,Female,18-24,Unspecified,184
SEP10,Jobseeker Support,More than 1 year,Female,25-39,NZ European,3004
SEP10,Jobseeker Support,More than 1 year,Female,25-39,Maori,2612
SEP10,Jobseeker Support,More than 1 year,Female,25-39,Pacific Island,601
SEP10,Jobseeker Support,More than 1 year,Female,25-39,Other,751
SEP10,Jobseeker Support,More than 1 year,Female,25-39,Unspecified,45
SEP10,Jobseeker Support,More than 1 year,Female,40-54,NZ European,6465
SEP10,Jobseeker Support,More than 1 year,Female,40-54,Maori,4562
